,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Date UTC
0,Saint Anthony,45.02,-93.22,9.44,28,90,1.5,US,1587507345,2020-04-21 16:15:45
1,Albany,42.6,-73.97,9.0,42,75,8.7,US,1587507192,2020-04-21 16:13:12
2,Birin,26.89,88.07,11.84,53,95,1.18,NP,1587507361,2020-04-21 16:16:01
3,Tiksi,71.69,128.87,-7.2,93,100,0.89,RU,1587507361,2020-04-21 16:16:01
4,Sakakah,29.97,40.21,23.0,40,77,5.1,SA,1587507361,2020-04-21 16:16:01
5,Qaanaaq,77.48,-69.36,-1.6,92,100,4.38,GL,1587507361,2020-04-21 16:16:01
6,Butaritari,3.07,172.79,27.97,79,77,4.8,KI,1587507308,2020-04-21 16:15:08
7,Rikitea,-23.12,-134.97,25.25,73,55,3.3,PF,1587507262,2020-04-21 16:14:22
8,Cape Town,-33.93,18.42,14.44,93,0,1.5,ZA,1587507135,2020-04-21 16:12:15
9,Kudamatsu,34.0,131.87,10.0,39,75,4.1,JP,1587507362,2020-04-21 16:16:02
10,Erenhot,43.65,111.98,-2.24,50,29,3.24,CN,1587507362,2020-04-21 16:16:02
11,Avera,33.19,-82.53,25.0,44,40,5.7,US,1587507362,2020-04-21 16:16:02
12,Soe,-9.86,124.28,19.22,84,52,2.2,ID,1587507363,2020-04-21 16:16:03
13,Atuona,-9.8,-139.03,27.79,68,0,5.75,PF,1587507363,2020-04-21 16:16:03
14,Kaitangata,-46.28,169.85,11.67,80,79,1.79,NZ,1587507363,2020-04-21 16:16:03
15,Boca do Acre,-8.75,-67.4,26.73,80,100,1.13,BR,1587507363,2020-04-21 16:16:03
16,Bambanglipuro,-7.95,110.28,25.68,85,41,2.6,ID,1587507363,2020-04-21 16:16:03
17,Chongoyape,-6.64,-79.39,29.66,43,55,3.23,PE,1587507363,2020-04-21 16:16:03
18,Teknāf,20.86,92.31,24.46,87,18,2.62,BD,1587507364,2020-04-21 16:16:04
19,Hobart,-42.88,147.33,12.22,50,20,7.7,AU,1587507186,2020-04-21 16:13:06
20,Mataura,-46.19,168.86,11.67,94,97,1.79,NZ,1587507364,2020-04-21 16:16:04
21,Lázaro Cárdenas,17.96,-102.2,29.31,51,85,4.06,MX,1587507364,2020-04-21 16:16:04
22,Kyra,49.58,111.98,-7.68,67,25,3.14,RU,1587507364,2020-04-21 16:16:04
23,Gaogou,34.02,119.19,7.51,73,84,1.26,CN,1587507365,2020-04-21 16:16:05
24,Mtsamboro,-12.7,45.07,26.0,78,20,3.6,YT,1587507365,2020-04-21 16:16:05
25,Kangaatsiaq,68.31,-53.46,-0.15,91,5,5.25,GL,1587507365,2020-04-21 16:16:05
26,Guerrero Negro,27.98,-114.06,20.29,57,94,9.85,MX,1587507171,2020-04-21 16:12:51
27,Kropotkin,45.44,40.58,3.73,73,16,2.81,RU,1587507365,2020-04-21 16:16:05
28,Vestmanna,62.16,-7.17,6.0,81,0,3.6,FO,1587507365,2020-04-21 16:16:05
29,Taoudenni,22.68,-3.98,30.64,12,0,3.73,ML,1587507365,2020-04-21 16:16:05
30,Bodden Town,19.28,-81.25,31.0,70,20,6.2,KY,1587507366,2020-04-21 16:16:06
31,Port Alfred,-33.59,26.89,17.78,91,98,0.89,ZA,1587507175,2020-04-21 16:12:55
32,Tiko,4.07,9.37,28.0,88,40,1.0,CM,1587507366,2020-04-21 16:16:06
33,Clyde River,70.47,-68.59,-15.0,77,75,5.1,CA,1587507366,2020-04-21 16:16:06
34,Huarmey,-10.07,-78.15,24.96,60,32,4.21,PE,1587507366,2020-04-21 16:16:06
35,Seymchan,62.88,152.43,-10.15,91,100,1.37,RU,1587507366,2020-04-21 16:16:06
36,Buala,-8.14,159.59,27.66,77,78,1.32,SB,1587507367,2020-04-21 16:16:07
37,Taree,-31.9,152.47,16.67,77,0,1.74,AU,1587507367,2020-04-21 16:16:07
38,Kapaa,22.08,-159.32,28.0,69,40,5.7,US,1587507367,2020-04-21 16:16:07
39,Hamburg,53.55,10.0,12.0,53,0,5.7,DE,1587507202,2020-04-21 16:13:22
40,Zhangjiakou,40.81,114.88,-1.86,49,0,8.09,CN,1587507367,2020-04-21 16:16:07
41,Soligalich,59.08,42.29,2.19,83,94,5.14,RU,1587507367,2020-04-21 16:16:07
42,Goderich,43.75,-81.72,1.67,74,100,11.64,CA,1587507106,2020-04-21 16:11:46
43,Provideniya,64.38,-173.3,-10.0,66,4,1.0,RU,1587507125,2020-04-21 16:12:05
44,Punta Arenas,-53.15,-70.92,10.0,53,89,20.1,CL,1587507341,2020-04-21 16:15:41
45,Ubari,26.59,12.78,23.06,17,0,2.88,LY,1587507368,2020-04-21 16:16:08
46,Lira,2.23,32.91,18.88,67,93,0.96,UG,1587507368,2020-04-21 16:16:08
47,Lebu,-37.62,-73.65,15.45,50,70,4.91,CL,1587507262,2020-04-21 16:14:22
48,Saint-Ambroise,48.55,-71.33,6.11,52,75,7.7,CA,1587507369,2020-04-21 16:16:09
49,Cabo San Lucas,22.89,-109.91,31.0,19,40,5.1,MX,1587507260,2020-04-21 16:14:20
50,Ushuaia,-54.8,-68.3,6.0,81,75,14.9,AR,1587507014,2020-04-21 16:10:14
51,Santa Vitória do Palmar,-33.52,-53.37,19.15,85,1,4.33,BR,1587507369,2020-04-21 16:16:09
52,San Patricio,19.22,-104.7,27.0,83,40,5.1,MX,1587507369,2020-04-21 16:16:09
53,Yar-Sale,66.83,70.83,-0.02,99,100,5.09,RU,1587507369,2020-04-21 16:16:09
54,East London,-33.02,27.91,20.18,87,99,2.82,ZA,1587507369,2020-04-21 16:16:09
55,Iqaluit,63.75,-68.51,-16.0,77,75,11.8,CA,1587507370,2020-04-21 16:16:10
56,Slyudyanka,51.66,103.71,-0.99,64,0,2.25,RU,1587507370,2020-04-21 16:16:10
57,Tual,-5.67,132.75,28.67,73,7,2.42,ID,1587507370,2020-04-21 16:16:10
58,New Norfolk,-42.78,147.06,12.22,67,66,4.02,AU,1587507262,2020-04-21 16:14:22
59,Iracoubo,5.48,-53.2,26.22,85,89,5.13,GF,1587507370,2020-04-21 16:16:10
60,Half Moon Bay,37.46,-122.43,21.67,76,90,6.2,US,1587507371,2020-04-21 16:16:11
61,Saint-Joseph,-21.37,55.62,22.0,73,20,2.1,RE,1587507371,2020-04-21 16:16:11
62,Codrington,-38.27,141.97,12.74,81,85,4.4,AU,1587507371,2020-04-21 16:16:11
63,College,64.86,-147.8,6.11,86,90,2.1,US,1587507371,2020-04-21 16:16:11
64,Metro,-5.11,105.31,24.35,87,33,1.07,ID,1587507371,2020-04-21 16:16:11
65,Avarua,-21.21,-159.78,27.0,78,3,7.7,CK,1587507372,2020-04-21 16:16:12
66,Ancud,-41.87,-73.82,12.0,71,80,2.6,CL,1587507176,2020-04-21 16:12:56
67,Nikolskoye,59.7,30.79,9.0,36,27,5.0,RU,1587507372,2020-04-21 16:16:12
68,Deputatsky,69.3,139.9,-9.03,92,100,0.35,RU,1587507373,2020-04-21 16:16:13
69,Kavieng,-2.57,150.8,28.61,73,100,1.09,PG,1587507373,2020-04-21 16:16:13
70,Santa Rosa,14.31,121.11,28.0,69,20,1.8,PH,1587507374,2020-04-21 16:16:14
71,Port Lincoln,-34.73,135.87,15.0,80,0,1.56,AU,1587507374,2020-04-21 16:16:14
72,Arraial do Cabo,-22.97,-42.03,23.0,83,1,2.1,BR,1587507081,2020-04-21 16:11:21
73,Atkarsk,51.87,45.01,3.35,82,98,6.77,RU,1587507325,2020-04-21 16:15:25
74,Castro,-24.79,-50.01,16.8,52,1,0.5,BR,1587507201,2020-04-21 16:13:21
75,Hambantota,6.12,81.12,27.65,83,100,4.01,LK,1587507374,2020-04-21 16:16:14
76,Geraldton,-28.77,114.6,14.0,93,97,4.6,AU,1587507374,2020-04-21 16:16:14
77,Belaya Gora,68.53,146.42,-6.86,97,92,2.16,RU,1587507375,2020-04-21 16:16:15
78,Taunggyi,20.78,97.03,17.08,33,1,1.36,MM,1587507375,2020-04-21 16:16:15
79,Vaini,-21.2,-175.2,27.0,78,75,4.1,TO,1587507375,2020-04-21 16:16:15
80,Merauke,-8.47,140.33,25.46,90,80,4.39,ID,1587507375,2020-04-21 16:16:15
81,Lere,10.39,8.57,27.7,35,47,1.09,NG,1587507375,2020-04-21 16:16:15
82,Chokurdakh,70.63,147.92,-5.47,97,99,0.61,RU,1587507376,2020-04-21 16:16:16
83,Saskylakh,71.92,114.08,-6.12,97,97,0.65,RU,1587507376,2020-04-21 16:16:16
84,Waipawa,-41.41,175.52,15.56,77,24,9.3,NZ,1587507376,2020-04-21 16:16:16
85,Ihtiman,42.43,23.82,2.78,100,100,0.89,BG,1587507376,2020-04-21 16:16:16
86,Rāvar,31.27,56.81,22.74,30,100,1.47,IR,1587507377,2020-04-21 16:16:17
87,Marsá Maţrūḩ,31.35,27.25,18.0,72,0,3.6,EG,1587507377,2020-04-21 16:16:17
88,Jamestown,42.1,-79.24,-0.56,74,90,10.8,US,1587507377,2020-04-21 16:16:17
89,Urusha,54.05,122.9,-8.42,86,0,2.3,RU,1587507377,2020-04-21 16:16:17
90,Ambilobe,-13.2,49.05,23.05,81,99,2.17,MG,1587507377,2020-04-21 16:16:17
91,Port Blair,11.67,92.75,28.5,72,6,1.42,IN,1587507377,2020-04-21 16:16:17
92,Port Elizabeth,-33.92,25.57,16.0,87,33,4.1,ZA,1587507377,2020-04-21 16:16:17
93,Busselton,-33.65,115.33,16.67,83,97,7.07,AU,1587507378,2020-04-21 16:16:18
94,Namatanai,-3.67,152.43,27.83,74,100,1.35,PG,1587507379,2020-04-21 16:16:19
95,Norman Wells,65.28,-126.83,-5.0,73,75,7.7,CA,1587507380,2020-04-21 16:16:20
96,Mar del Plata,-38.0,-57.56,14.44,67,100,3.1,AR,1587507380,2020-04-21 16:16:20
97,Pisco,-13.7,-76.22,23.0,69,0,8.7,PE,1587507380,2020-04-21 16:16:20
98,Carberry,49.87,-99.36,8.0,72,40,7.7,CA,1587507380,2020-04-21 16:16:20
99,Kumul,42.8,93.45,15.04,20,55,2.45,CN,1587507380,2020-04-21 16:16:20
100,Hong Kong,22.29,114.16,25.0,88,20,4.6,HK,1587507035,2020-04-21 16:10:35
101,Yerofey Pavlovich,53.97,121.97,-8.44,89,0,2.03,RU,1587507381,2020-04-21 16:16:21
102,George Town,5.41,100.34,27.0,100,40,1.5,MY,1587507066,2020-04-21 16:11:06
103,Isangel,-19.55,169.27,26.0,88,40,2.6,VU,1587507382,2020-04-21 16:16:22
104,Olafsvik,64.89,-23.71,5.86,86,97,4.29,IS,1587507382,2020-04-21 16:16:22
105,Paracatu,-17.22,-46.87,21.25,74,49,1.15,BR,1587507382,2020-04-21 16:16:22
106,Biak,-0.91,122.88,27.0,73,90,1.57,ID,1587507382,2020-04-21 16:16:22
107,San Jose,37.34,-121.89,22.78,49,20,4.1,US,1587507298,2020-04-21 16:14:58
108,Lavrentiya,65.58,-171.0,-10.21,90,3,1.75,RU,1587507383,2020-04-21 16:16:23
109,Kayiry,46.95,33.71,5.7,64,31,2.95,UA,1587507383,2020-04-21 16:16:23
110,Amapá,1.0,-52.0,23.14,94,100,1.32,BR,1587507192,2020-04-21 16:13:12
111,Forsytheganj,52.63,29.73,3.98,76,100,3.38,BY,1587507383,2020-04-21 16:16:23
112,Tasiilaq,65.61,-37.64,1.0,90,100,11.3,GL,1587507262,2020-04-21 16:14:22
113,Rock Sound,24.9,-76.2,27.18,78,7,3.03,BS,1587507383,2020-04-21 16:16:23
114,Departamento de Maldonado,-34.67,-54.92,17.0,72,75,4.6,UY,1587507384,2020-04-21 16:16:24
115,Kruisfontein,-34.0,24.73,15.67,75,84,2.08,ZA,1587507384,2020-04-21 16:16:24
116,Puerto Ayora,-0.74,-90.35,30.0,66,20,6.7,EC,1587507384,2020-04-21 16:16:24
117,Samarai,-10.62,150.67,27.2,82,92,6.5,PG,1587507384,2020-04-21 16:16:24
118,Barrow,71.29,-156.79,-10.0,78,90,5.1,US,1587507385,2020-04-21 16:16:25
119,Hohhot,40.81,111.65,-8.0,40,0,2.0,CN,1587507385,2020-04-21 16:16:25
120,Camalú,30.85,-116.07,20.0,47,0,4.92,MX,1587507385,2020-04-21 16:16:25
121,Charters Towers,-20.1,146.27,20.46,85,0,1.95,AU,1587507385,2020-04-21 16:16:25
122,Esperance,-33.87,121.9,12.0,87,54,4.6,AU,1587507385,2020-04-21 16:16:25
123,Erzin,36.96,36.2,18.89,74,48,0.38,TR,1587507385,2020-04-21 16:16:25
124,Freetown,8.48,-13.23,26.81,79,55,3.7,SL,1587507386,2020-04-21 16:16:26
125,Laguna,38.42,-121.42,25.0,33,1,3.1,US,1587507386,2020-04-21 16:16:26
126,Kalevala,65.2,31.17,-2.11,94,0,2.6,RU,1587507386,2020-04-21 16:16:26
127,Dikson,73.51,80.55,-0.06,97,100,6.54,RU,1587507386,2020-04-21 16:16:26
128,Ploemeur,47.73,-3.43,13.33,76,90,3.1,FR,1587507386,2020-04-21 16:16:26
129,Pevek,69.7,170.31,-12.32,95,100,3.86,RU,1587507125,2020-04-21 16:12:05
130,Longyearbyen,78.22,15.64,-7.0,57,0,5.1,SJ,1587507387,2020-04-21 16:16:27
131,Bluff,-46.6,168.33,11.67,94,92,1.79,NZ,1587507387,2020-04-21 16:16:27
132,Okha,53.57,142.95,-2.56,95,100,11.42,RU,1587507387,2020-04-21 16:16:27
133,Oddur,4.12,43.89,23.37,75,100,2.74,SO,1587507388,2020-04-21 16:16:28
134,Helena,46.59,-112.04,20.0,19,1,9.3,US,1587507233,2020-04-21 16:13:53
135,Faanui,-16.48,-151.75,27.31,79,100,6.95,PF,1587507388,2020-04-21 16:16:28
136,Leningradskiy,69.38,178.42,-10.52,89,60,2.31,RU,1587507388,2020-04-21 16:16:28
137,Parkes,-33.13,148.18,11.17,63,0,1.05,AU,1587507388,2020-04-21 16:16:28
138,Lagunas,-5.23,-75.68,33.18,37,2,1.12,PE,1587507388,2020-04-21 16:16:28
139,Collie,-33.37,116.15,16.67,83,83,2.74,AU,1587507389,2020-04-21 16:16:29
140,Vardø,70.37,31.11,2.0,69,20,13.9,NO,1587507389,2020-04-21 16:16:29
141,Sisimiut,66.94,-53.67,0.42,86,43,4.22,GL,1587507389,2020-04-21 16:16:29
142,Jackson,42.42,-122.83,22.0,24,40,1.51,US,1587507389,2020-04-21 16:16:29
143,Lorengau,-2.02,147.27,28.43,73,100,1.0,PG,1587507390,2020-04-21 16:16:30
144,Fortuna,40.6,-124.16,16.67,63,26,2.68,US,1587507390,2020-04-21 16:16:30
145,Tautira,-17.73,-149.15,30.0,62,100,3.1,PF,1587507390,2020-04-21 16:16:30
146,Kontagora,10.4,5.47,32.51,35,91,0.57,NG,1587507390,2020-04-21 16:16:30
147,Hermanus,-34.42,19.23,15.0,76,1,3.13,ZA,1587507390,2020-04-21 16:16:30
148,Ben Tre,10.23,106.38,25.98,88,70,0.96,VN,1587507391,2020-04-21 16:16:31
149,Hobyo,5.35,48.53,29.05,72,96,3.91,SO,1587507392,2020-04-21 16:16:32
150,Goulburn,-34.75,149.72,11.11,87,0,3.53,AU,1587507392,2020-04-21 16:16:32
151,Rio Verde de Mato Grosso,-18.92,-54.84,26.59,60,65,2.37,BR,1587507392,2020-04-21 16:16:32
152,Waingapu,-9.66,120.26,26.57,84,22,4.55,ID,1587507392,2020-04-21 16:16:32
153,Ambon City,-3.7,128.18,28.42,74,6,2.23,ID,1587507392,2020-04-21 16:16:32
154,Arlit,18.74,7.39,32.36,10,0,2.49,NE,1587507393,2020-04-21 16:16:33
155,Khatanga,71.97,102.5,-4.25,97,79,1.85,RU,1587507393,2020-04-21 16:16:33
156,Souillac,-20.52,57.52,24.44,75,13,3.13,MU,1587507393,2020-04-21 16:16:33
157,Saint-Philippe,-21.36,55.77,22.0,73,20,2.1,RE,1587507261,2020-04-21 16:14:21
158,Lompoc,34.64,-120.46,24.44,67,1,7.2,US,1587507128,2020-04-21 16:12:08
159,Kavaratti,10.57,72.64,29.74,71,56,4.0,IN,1587507393,2020-04-21 16:16:33
160,Staryy Nadym,65.61,72.68,-0.19,98,96,6.36,RU,1587507394,2020-04-21 16:16:34
161,Manzhouli,49.6,117.43,-5.64,79,47,5.46,CN,1587507394,2020-04-21 16:16:34
162,Dwārka,22.24,68.97,27.32,80,83,6.56,IN,1587507394,2020-04-21 16:16:34
163,Alta Floresta,-9.88,-56.09,36.0,44,20,1.0,BR,1587507394,2020-04-21 16:16:34
164,Oktyabr'skoye,43.06,44.74,6.0,100,100,1.0,RU,1587507394,2020-04-21 16:16:34
165,Brewster,41.4,-73.62,8.33,70,75,1.5,US,1587507394,2020-04-21 16:16:34
166,Boa Viagem,-5.13,-39.73,23.95,83,100,0.27,BR,1587507394,2020-04-21 16:16:34
167,Beringovskiy,63.05,179.32,-10.99,93,8,4.64,RU,1587507395,2020-04-21 16:16:35
168,Bredasdorp,-34.53,20.04,13.0,82,0,2.6,ZA,1587507395,2020-04-21 16:16:35
169,Kamenka,51.32,42.77,5.56,85,100,4.92,RU,1587507395,2020-04-21 16:16:35
170,Erdaojiang,41.78,126.03,-2.55,92,100,2.19,CN,1587507396,2020-04-21 16:16:36
171,Rocha,-34.48,-54.33,17.49,77,86,3.83,UY,1587507396,2020-04-21 16:16:36
172,Evensk,61.95,159.23,-7.46,90,85,2.74,RU,1587507396,2020-04-21 16:16:36
173,Tuktoyaktuk,69.45,-133.04,-14.0,77,75,8.2,CA,1587507396,2020-04-21 16:16:36
174,Pangai,-19.8,-174.35,28.0,78,20,5.7,TO,1587507396,2020-04-21 16:16:36
175,Cidreira,-30.18,-50.21,21.47,74,0,2.52,BR,1587507397,2020-04-21 16:16:37
176,Lagoa,39.05,-27.98,15.86,76,99,7.71,PT,1587507397,2020-04-21 16:16:37
177,Tromsø,69.65,18.96,2.0,69,54,6.7,NO,1587507163,2020-04-21 16:12:43
178,Dunedin,-45.87,170.5,10.94,73,81,2.46,NZ,1587507107,2020-04-21 16:11:47
179,Elko,41.0,-115.5,20.0,16,75,5.82,US,1587507397,2020-04-21 16:16:37
180,El Alto,-4.27,-81.21,23.32,68,50,5.76,PE,1587507398,2020-04-21 16:16:38
181,Hasaki,35.73,140.83,12.22,93,75,3.6,JP,1587507398,2020-04-21 16:16:38
182,Caucayá,-0.19,-74.78,32.33,40,4,2.03,CO,1587507398,2020-04-21 16:16:38
183,‘Āhuimanu,21.44,-157.84,28.0,58,20,5.1,US,1587507398,2020-04-21 16:16:38
184,Saldanha,-33.01,17.94,13.0,76,0,3.1,ZA,1587507398,2020-04-21 16:16:38
185,Praia,14.92,-23.51,23.0,73,20,7.2,CV,1587507306,2020-04-21 16:15:06
186,Tevriz,57.51,72.4,5.57,93,73,2.14,RU,1587507399,2020-04-21 16:16:39
187,Letka,59.6,49.42,3.05,84,100,6.79,RU,1587507399,2020-04-21 16:16:39
188,Labuhan,-6.88,112.21,26.01,84,8,2.49,ID,1587507399,2020-04-21 16:16:39
189,Ojinaga,29.57,-104.42,34.0,7,1,3.1,MX,1587507400,2020-04-21 16:16:40
190,Severo-Kuril'sk,50.68,156.12,0.22,94,100,14.18,RU,1587507400,2020-04-21 16:16:40
191,Hithadhoo,-0.6,73.08,29.16,75,100,3.96,MV,1587507401,2020-04-21 16:16:41
192,Ürümqi,43.8,87.6,15.0,41,3,2.0,CN,1587507401,2020-04-21 16:16:41
193,Bonavista,48.65,-53.11,0.4,93,100,9.19,CA,1587507401,2020-04-21 16:16:41
194,Caucaia,-3.74,-38.65,26.0,88,75,2.6,BR,1587507401,2020-04-21 16:16:41
195,Vao,-22.67,167.48,24.26,81,3,6.97,NC,1587507401,2020-04-21 16:16:41
196,Sabang,5.89,95.32,28.75,76,98,2.71,ID,1587507402,2020-04-21 16:16:42
197,Hilo,19.73,-155.09,28.0,54,1,6.7,US,1587507402,2020-04-21 16:16:42
